City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
543,Kaeo,NZ,-35.1,173.7833,75.0,61,11,8.01,few clouds
544,Buta,CD,2.7858,24.73,69.46,97,100,2.08,overcast clouds
557,Teluk Nibung,ID,3.0010000000000003,99.8164,74.3,94,100,2.93,heavy intensity rain
560,Potam,MX,27.6,-110.3833,66.99,37,1,10.36,clear sky
561,Nago,JP,26.5881,127.9761,71.6,64,1,13.8,clear sky
562,Urubicha,BO,-15.3833,-62.95,71.13,98,53,2.68,broken clouds
568,Avera,US,33.194,-82.5271,68.0,94,90,5.39,overcast clouds
573,High Rock,BS,26.6208,-78.2833,73.4,78,10,5.75,clear sky
581,Along,IN,28.1667,94.7667,70.18,45,44,1.83,scattered clouds
592,Altar,MX,30.7,-111.8167,66.99,26,4,8.99,clear sky
595,Huarmey,PE,-10.0681,-78.1522,71.92,78,100,8.52,overcast clouds
598,Necochea,AR,-38.5473,-58.7368,66.99,91,59,1.99,broken clouds
600,Ojinaga,MX,29.5667,-104.4167,66.2,22,1,26.46,clear sky
604,Laibin,CN,23.7,109.2667,68.29,81,100,2.77,overcast clouds
613,Paidha,UG,2.4167,30.9855,66.34,59,85,3.51,overcast clouds
619,San Martin,AR,-33.080999999999996,-68.4681,75.2,50,75,5.75,broken clouds
625,Matadi,CD,-5.8167,13.45,73.87,96,100,1.45,overcast clouds
628,Gushikawa,JP,26.3544,127.8686,71.6,64,1,13.8,clear sky
632,Ouango,CF,4.3133,22.5552,70.2,95,100,2.04,overcast clouds
637,Puerto Del Rosario,ES,28.5004,-13.8627,69.8,43,0,6.91,clear sky
639,Padilla,CO,3.2204,-76.3139,73.4,78,20,5.75,few clouds
640,Boma,GH,7.0805,-2.1697,72.66,94,100,3.31,overcast clouds
642,Tura,IN,25.5198,90.2201,74.57,26,2,3.62,clear sky
644,Sur,OM,22.5667,59.5289,75.31,57,0,7.96,clear sky
645,Khorramshahr,IR,30.4397,48.1664,73.4,64,0,21.85,clear sky
651,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,0,8.05,clear sky
657,Coxim,BR,-18.5067,-54.76,75.13,63,98,3.33,overcast clouds
662,Armeria,MX,18.9333,-103.9667,75.2,50,1,9.22,clear sky
672,Imbituba,BR,-28.24,-48.6703,73.4,94,75,12.66,broken clouds
684,Columbus,US,39.9612,-82.9988,66.99,48,40,9.22,scattered clouds
687,Itapecerica,BR,-20.4725,-45.1256,69.39,83,98,3.78,overcast clouds
688,Ranong,TH,9.9658,98.6348,75.2,94,0,1.14,clear sky
693,Kadi,IN,23.3,72.3333,75.2,22,5,6.91,smoke
